Name,Qty,S/N,MAC
test1,32,q436-vgls-rel3,cd:f7:73:69:09:8e
test2,34,q436-vgls-rel3,a3:87:b4:c6:4b:f7
test3,1,q436-vgls-rel3,a0:fe:65:3b:4f:52
test4,6,q436-vgls-rel3,40:92:ea:fe:23:e6
test5,5,q436-vgls-rel3,ad:b7:88:c8:00:f3
test6,7,q436-vgls-rel3,06:a7:aa:b3:74:ee
test7,8,q436-vgls-rel3,0e:1a:3e:b8:8b:38
test8,12,q436-vgls-rel3,a8:c0:8e:3a:0d:c4
test9,4,q436-vgls-rel3,51:87:a3:45:44:4d
test10,25,q436-vgls-rel3,c9:4d:a5:96:e9:fe
test11,76,q436-vgls-rel3,60:8d:df:78:37:ec
test12,4,q436-vgls-rel3,c1:c6:1d:67:da:ed
test13,2,q436-vgls-rel3,5e:4f:cc:5c:04:57
test14,6,q436-vgls-rel3,68:0a:b4:c7:51:b7
test15,5,q436-vgls-rel3,32:60:bb:e6:01:b0
test16,44,q436-vgls-rel3,68:2a:b1:1a:44:52
test17,52,q436-vgls-rel3,16:1e:7d:4a:d4:cb
test18,1,q436-vgls-rel3,7b:db:a4:87:c1:78
test19,3,q436-vgls-rel3,ae:e6:12:3d:e1:32
test20,54,q436-vgls-rel3,b7:4f:02:6f:37:7f
